Sector,Year,Month,Cereals and products,Meat and fish,Egg,Milk and products,Oils and fats,Fruits,Vegetables,Pulses and products,Sugar and Confectionery,Spices,Non-alcoholic beverages,"Prepared meals, snacks, sweets etc.",Food and beverages,"Pan, tobacco and intoxicants",Clothing,Footwear,Clothing and footwear,Housing,Fuel and light,Household goods and services,Health,Transport and communication,Recreation and amusement,Education,Personal care and effects,Miscellaneous,General index
Rural,2013,August,138.06864213749998,139.397386725,134.20320333749999,132.87445875,128.5258401,133.84081845,167.7842029125,129.733789725,125.74755596249999,129.1298149125,132.5120738625,136.015127775,138.7934119125,133.7200234875,134.44479326249999,133.116048675,134.20320333749999,131.5457141625,132.7536637875,131.3041242375,129.8545846875,130.21696957499998,129.00901994999998,131.3041242375,126.83471062499999,129.8545846875,135.41115296249998
Urban,2013,August,142.9004406375,145.43713485,136.13592273749998,131.5457141625,122.12370708749998,131.3041242375,213.807083625,126.4723257375,122.002912125,131.0625343125,133.9616134125,138.06864213749998,144.47077514999998,135.77353785,133.59922852499997,130.8209443875,133.116048675,131.5457141625,132.0288940125,131.3041242375,129.97537964999998,130.5793544625,128.6466350625,133.84081845,128.04266024999998,130.8209443875,136.13592273749998
Rural+Urban,2013,August,139.63897665,141.57169604999999,134.92797311249998,132.39127889999997,126.23073581249999,132.63286882499997,183.366753075,128.6466350625,124.53960633749999,129.733789725,133.116048675,136.981487475,140.846926275,134.3239983,134.082408375,132.149688975,133.7200234875,131.5457141625,132.5120738625,131.3041242375,129.8545846875,130.45855949999998,128.76743002499998,132.7536637875,127.317890475,130.3377645375,135.77353785
Rural,2013,September,138.66775936914402,139.02824747842257,134.22173935470875,133.38060043305882,129.05474312171637,133.260437729966,185.0505627629825,129.89588204336627,125.2095366227453,129.6555566371806,132.65962421450175,136.9854815258442,141.55166424337233,134.22173935470875,135.4233663856372,133.8612512454302,135.1830409794515,131.81848529285182,133.50076313615165,131.69832258975896,130.136207449552,131.33783448048044,129.41523123099492,131.93864799594465,128.21360420006644,130.61685826192337,137.22580693202988
Urban,2013,September,142.5129658681151,143.11377938357933,136.02417990110143,131.69832258975896,122.20546904542417,124.00790959181685,209.44359149083022,126.29100095058091,121.12400471758855,131.09750907429475,133.50076313615165,138.66775936914402,143.2339420866722,135.66369179182288,133.8612512454302,130.9773463712019,133.50076313615165,131.81848529285182,131.57815988666613,131.69832258975896,129.6555566371806,132.65962421450175,129.05474312171637,133.6209258392445,128.45392960625213,131.4579971835733,136.02417990110143
Rural+Urban,2013,September,139.8693864000725,140.4701999155367,134.94271557326582,132.77978691759458,126.5313263567666,128.9345804186235,193.34178927638888,128.69425501243782,123.887746888724,130.136207449552,133.02011232378027,137.70645774440126,142.15247775883657,134.58222746398727,134.82255287017296,132.65962421450175,134.46206476089444,131.81848529285182,132.77978691759458,131.69832258975896,129.89588204336627,132.0588106990375,129.1749058248092,132.89994962068744,128.3337669031593,130.9773463712019,136.62499341656564
Rural,2013,October,139.0177547723139,137.94195099505612,134.59500591025406,133.51920213299627,128.73785201185046,135.31220842842595,197.11115874423533,129.45505453002232,124.19556939676197,129.3355207769937,132.80199961482438,137.3442822299129,143.2014361283165,134.1168708981395,135.7903434405405,134.23640465116813,135.55127593448324,132.08479709665252,133.3996683799676,131.9652633436239,130.1722570481942,130.65039206030877,129.45505453002232,131.7261958375666,128.49878450579317,130.41132455425148,138.06148474808475
Urban,2013,October,142.1256323510587,141.1693623268295,136.86614721779833,131.9652633436239,122.28302934830364,126.9448457164208,219.34443680756323,125.86904193916298,119.7728205347021,131.0089933193947,133.16060087391034,138.65915351322798,144.39677365860294,135.67080968751188,134.47547215722543,131.12852707242337,133.8778033920822,132.08479709665252,131.12852707242337,131.7261958375666,129.3355207769937,131.12852707242337,129.0964532709364,133.04106712088168,128.2597169997359,130.76992581333744,136.2684784526551
Rural+Urban,2013,October,139.97402479654306,139.0177547723139,135.43174218145458,132.92153336785304,126.34717695127758,131.36759457848066,204.6417851850399,128.2597169997359,122.76116436041823,129.93318954213692,132.92153336785304,137.94195099505612,143.67957114043108,134.47547215722543,135.31220842842595,132.92153336785304,134.83407341631136,132.08479709665252,132.56293210876711,131.84572959059523,129.81365578910825,130.88945956636607,129.21598702396503,132.44339835573845,128.37925075276453,130.53085830728014,137.22474847688426
Rural,2013,November,139.4791954183284,136.62540113866953,138.17120637348475,134.12833114396798,129.4909154395223,138.6468387534279,211.77531716968704,129.72873162949386,123.18878640527556,129.60982353450808,132.93925019411012,137.93339018351318,145.66241635758936,134.12833114396798,136.26867685371215,134.48505542892534,136.03086066374058,132.1068935292096,133.89051495399642,132.34470971918117,130.4421801994086,130.32327210442278,129.25309924955073,131.98798543422382,128.65855877462178,130.56108829439438,139.59810351331421
Urban,2013,November,142.45189779297309,138.29011446847053,145.78132445257512,133.17706638408168,122.71315402533243,130.79890448436595,229.2548071325978,126.39930496989182,118.3135545108583,131.1556287693233,132.93925019411012,139.24137922835683,146.1380487375325,135.67413637878323,134.9606878088685,131.1556287693233,134.36614733393958,132.1068935292096,130.79890448436595,131.86907733923803,129.13419115456492,130.204364009437,129.01528305957913,132.34470971918117,128.30183448966443,130.32327210442278,136.74430923365531
Rural+Urban,2013,November,140.4304601782147,137.21994161359848,141.14390874812943,133.77160685901063,126.99384544482075,134.9606878088685,217.7207219189764,128.65855877462178,121.52407307547455,130.08545591445125,132.93925019411012,138.52793065844213,145.78132445257512,134.48505542892534,135.79304447376902,133.0581582890959,135.31741209382585,132.1068935292096,132.70143400413855,132.1068935292096,129.96654781946543,130.204364009437,129.13419115456492,132.2258016241954,128.539650679636,130.4421801994086,138.29011446847053
Rural,2013,December,140.05028269225932,137.09313989892613,142.41599692692586,134.60913995252625,129.5228543479932,136.6199970519928,172.3422819954576,129.5228543479932,121.71599737359361,129.87771148319317,132.5982828530597,138.15771130452606,140.4051398274593,134.3725685290596,136.9748541871928,134.84571137599292,136.6199970519928,130.94228288879313,133.42628283519298,132.5982828530597,130.23256861839315,129.9959971949265,129.1679972127932,132.00685429439307,127.8668543837266,130.23256861839315,136.6199970519928
Urban,2013,December,142.53428263865916,139.6954255570593,151.99713957732536,133.42628283519298,122.30742593226024,130.94228288879313,171.27771058985766,126.68399726639333,116.62971176906053,132.36171142959304,132.5982828530597,139.6954255570593,139.34056842185933,136.0285684933262,135.08228279945956,131.17885431225977,134.49085424079294,130.94228288879313,130.58742575359315,131.6519971591931,128.93142578932657,129.75942577145986,128.81314007759323,131.77028287092642,127.3937115367933,129.87771148319317,134.01771139385963
Rural+Urban,2013,December,140.87828267439258,138.03942559279275,146.08285399065898,134.13599710559296,126.92056868985999,134.01771139385963,171.98742486025762,128.5765686541266,120.05999740932702,130.70571146532646,132.5982828530597,138.86742557492605,140.05028269225932,134.84571137599292,136.26513991679283,133.30799712345967,135.79199706985952,130.94228288879313,132.36171142959304,132.1251400061264,129.75942577145986,129.87771148319317,128.93142578932657,131.88856858265973,127.63028296025996,130.11428290665984,135.43713993465954
Rural,2014,January,139.90557090917403,137.78757235882486,141.78823628726215,134.61057453330116,128.2565788822537,135.90490698073674,145.7889002156994,128.96257839903677,119.78458468085714,129.6685779158198,132.257242810691,138.02290553108588,136.49323991138928,134.13990818877912,137.08157284204182,134.72824111943166,136.7285730836503,131.3159101216469,132.96324232747403,132.492575982952,130.13924426034185,130.02157767421133,128.96257839903677,131.55124329390793,127.43291277934016,130.13924426034185,134.37524136104014
Urban,2014,January,142.6119023901757,143.55323507921975,152.8488953835299,133.66924184425707,121.07891712829274,131.90424305229945,139.90557090917403,126.4915800902961,114.01892196046227,132.61024256908252,131.90424305229945,140.02323749530453,135.90490698073674,136.14024015299776,135.08124087782318,130.9629103632554,134.49290794717064,131.3159101216469,130.60991060486387,131.66890988003846,129.08024498516727,130.37457743260285,129.1979115712978,131.1982435355164,127.07991302094864,130.02157767421133,132.84557574134354
Rural+Urban,2014,January,140.72923701208757,139.7879043230435,146.0242333879604,134.2575747749096,125.66791398738253,134.02224160264862,143.78856825148077,128.1389122961232,117.90191930276902,130.60991060486387,132.13957622456047,138.96423822012994,136.25790673912826,134.72824111943166,136.25790673912826,133.19857549973506,135.78724039460624,131.3159101216469,132.02190963842997,132.13957622456047,129.7862445019503,130.25691084647235,129.08024498516727,131.3159101216469,127.31524619320966,130.13924426034185,133.66924184425707
Rural,2014,February,139.75853714479118,137.76867522564424,141.86544976506443,134.60830629523437,127.58526422765694,136.48111751325504,135.77881330649728,128.52166983666726,118.33825883867996,129.22397404342502,132.15024157158228,137.88572592677053,134.95945839861326,133.67190068622406,137.06637101888649,134.02305278960293,136.59816821438133,131.6820387670771,132.50139367496115,132.15024157158228,129.80922754905646,129.69217684793017,128.63872053779357,131.09678526144566,127.23411212427807,129.80922754905646,133.4377992839715
Urban,2014,February,142.68480467294845,142.80185537407473,145.728122902232,134.84240769748698,119.97696865444804,133.55484998509775,130.51153175581422,126.64885861864661,111.66636887448139,132.85254577834002,131.21383596257195,140.34379065042265,134.84240769748698,136.0129147087499,134.95945839861326,130.7456331580668,134.2571541918555,131.6820387670771,130.04332895130904,131.7990894682034,129.22397404342502,130.2774303535616,129.10692334229873,130.62858245694048,127.23411212427807,129.92627825018275,132.38434297383486
Rural+Urban,2014,February,140.6949427538015,139.5244357425386,143.3871088797062,134.72535699636066,124.77604740062596,135.07650909973955,134.02305278960293,127.9364163310358,116.11429551728044,130.39448105468793,131.7990894682034,139.05623293803342,134.95945839861326,134.2571541918555,136.24701611100247,132.61844437608744,135.661762605371,131.6820387670771,131.56498806595084,132.033190870456,129.57512614680388,130.04332895130904,128.87282194004612,130.86268385919308,127.23411212427807,129.80922754905646,132.9695964794663
Rural,2014,March,139.84208575041976,137.51332495524207,140.54071398897307,135.1845641600644,127.26677745646029,139.25989555162533,137.28044887572432,128.31471981429024,117.83529623599068,128.89691001308466,131.574984927539,137.74620103475985,135.3010021998233,133.43799356368115,136.8146967166888,133.78730768295782,136.46538259741214,131.80786100705677,132.04073708657455,132.04073708657455,129.71197629139687,129.47910021187909,128.31471981429024,130.8763566889857,126.80102529742476,129.59553825163798,133.43799356368115
Urban,2014,March,142.17084654559744,141.35578026728527,141.47221830704416,135.3010021998233,119.69830487213282,137.04757279620657,131.92429904681566,126.80102529742476,112.12983228780536,132.85580336488673,130.64348060946793,140.30783790945532,135.06812612030552,135.88319239861772,134.83525004078774,130.52704256970904,134.13662180223446,131.80786100705677,129.12978609260244,131.574984927539,129.01334805284355,129.94485237091462,129.12978609260244,130.1777284504324,127.15033941670141,129.71197629139687,132.3900512058512
Rural+Urban,2014,March,140.54071398897307,138.9105814323487,140.89002810824974,135.1845641600644,124.47226450224707,138.2119531937954,135.41744023958216,127.84896765525471,115.97228759984853,130.1777284504324,131.22567080826235,138.9105814323487,135.1845641600644,134.13662180223446,135.99963043837658,132.3900512058512,135.53387827934105,131.80786100705677,130.99279472874457,131.80786100705677,129.47910021187909,129.71197629139687,128.78047197332577,130.41060452995015,126.91746333718363,129.59553825163798,132.97224140464562
Rural,2014,April,139.22595935664316,137.72018774962456,136.79355906838234,135.51944463167428,127.06395791533905,145.36487436987284,139.57344511210897,128.56972952235765,118.84012836931436,128.80138669266822,131.46544415123958,137.488530579314,135.75110180198484,133.66618726918986,136.79355906838234,134.47698736527678,136.4460733129165,131.9287584918607,131.3496155660843,131.69710132155015,129.49635820359987,128.80138669266822,127.99058659658127,130.8863012254632,126.13732923409684,129.14887244813403,133.66618726918986
Urban,2014,April,141.89001681521452,140.9633881339723,131.233786980929,135.51944463167428,119.41927129509075,146.75481739173617,140.38424520819592,128.56972952235765,116.176070910743,133.55035868403456,130.53881546999736,140.15258803788538,136.9093876535376,136.21441614260593,134.70864453558733,130.30715829968682,134.01367302465567,131.9287584918607,128.45390093720238,131.3496155660843,128.56972952235765,128.80138669266822,128.80138669266822,130.30715829968682,126.36898640440738,129.03304386297876,132.8553871731029
Rural+Urban,2014,April,140.0367594527301,138.87847360117732,134.59281595043205,135.51944463167428,124.2840718716124,146.0598458808045,139.80510228241954,128.56972952235765,117.91349968807215,130.4229868848421,131.11795839577374,138.76264501602205,136.21441614260593,134.3611587801215,135.9827589722954,132.7395585879476,135.51944463167428,131.9287584918607,130.30715829968682,131.58127273639485,129.14887244813403,128.80138669266822,128.45390093720238,130.53881546999736,126.25315781925211,129.14887244813403,133.31870151372402
